OrderedDict({'bootstrap': False, 'max_depth': 17, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 976}) - -13.617854991593555
OrderedDict({'bootstrap': False, 'max_depth': 49, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 182}) - -13.515986104688764
OrderedDict({'bootstrap': False, 'max_depth': 47, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.523127034198108
OrderedDict({'bootstrap': False, 'max_depth': 51, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 133}) - -13.639249477715788
OrderedDict({'bootstrap': False, 'max_depth': 17, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 135}) - -13.61479044298982
OrderedDict({'bootstrap': False, 'max_depth': 46, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 995}) - -13.58187932068671
OrderedDict({'bootstrap': False, 'max_depth': 45, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 956}) - -13.567992149074646
OrderedDict({'bootstrap': False, 'max_depth': 96, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 977}) - -13.564164440267621
OrderedDict({'bootstrap': False, 'max_depth': 88, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 979}) - -13.579912282285136
OrderedDict({'bootstrap': False, 'max_depth': 13, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 891}) - -13.566673974052392
OrderedDict({'bootstrap': False, 'max_depth': 71, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 19, 'n_estimators': 902}) - -13.679415518617631
OrderedDict({'bootstrap': False, 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.563464564197137
OrderedDict({'bootstrap': False, 'max_depth': 56, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 843}) - -13.695466802933646
OrderedDict({'bootstrap': False, 'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 916}) - -13.558721262939542
OrderedDict({'bootstrap': False, 'max_depth': 75, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 167}) - -13.61595630228886
OrderedDict({'bootstrap': False, 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 896}) - -13.568525937798011
OrderedDict({'bootstrap': False, 'max_depth': 89, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 938}) - -13.616174962955458
OrderedDict({'bootstrap': False, 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.515765270129052
OrderedDict({'bootstrap': False, 'max_depth': 96, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 932}) - -13.560452627738178
